amazon-order-id,merchant-order-id,purchase-date,last-updated-date,order-status,fulfillment-channel,sales-channel,order-channel,url,ship-service-level,product-name,sku,asin,item-status,quantity,currency,item-price,item-tax,shipping-price,shipping-tax,gift-wrap-price,gift-wrap-tax,item-promotion-discount,ship-promotion-discount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids
249-6249097-9062261,,2025-03-23T15:38:14+09:00,2025-03-23T17:27:50+09:00,Shipped,Merchant,Amazon.sg,WebsiteOrderChannel,,FreeEconomy,Daichi Wooden Adjustable Wall Lamp - Bedside light,wlp-gbh-dai-none-non-none-non-none-none-0778,B0BG5YGWSG,Shipped,1.00,SGD,$33.00,,,,,,,,Singapore,,118180,SG,
249-3317785-3998263,,2025-03-15T23:54:50+09:00,2025-03-16T11:35:11+09:00,Shipped,Merchant,Amazon.sg,WebsiteOrderChannel,,FreeEconomy,"Laminate Full Wood 24W 36W 23/30/40CM- LED Ceiling Light- Daylight, Warm White, 3Tone (Daylight, 40cm (36W))",clt-gbh-lam-none-wod-40cm-day-036w-none-1124,B0CGHSJVV6,Shipped,1.00,SGD,$55.00,,,,,,,,Singapore,,600302,SG,Amazon PLCC Free-Financing Universal Merchant #MP-sabrgeng-1741155473076
250-1661126-5960641,,2025-04-12T21:36:59+09:00,2025-04-13T22:05:16+09:00,Shipped,Merchant,Amazon.sg,WebsiteOrderChannel,,FreeEconomy,Hoyo 3 meter extension socket 2 way 3 way 4 way 5 way 6 way (3 way),exs-hoy-gen-4way-non-none-non-none-none-0032,B0967XBRKF,Shipped,1.00,SGD,$17.00,,,,,,,,Singapore,,118494,SG,
503-4788550-7545468,,2025-04-01T20:36:58+09:00,2025-04-07T20:43:01+09:00,Cancelled,Merchant,Amazon.sg,WebsiteOrderChannel,,Standard,Nordic Table Lamp- with SG safety 3pin plug - Bedroom (Green),tlp-gbh-nor-nobb-grn-none-non-none-none-0553,B0BHHCZYDS,,0.00,,,,,,,,,,Singapore,,49315,SG,
503-6344319-6487036,,2025-08-18T03:21:14+09:00,2025-08-19T13:59:00+09:00,Shipped,Merchant,Amazon.sg,WebsiteOrderChannel,,Standard,Goldberg Nordic Table Lamp- with SG safety 3pin plug - Bedroom | Goldberg Home (Black Lamp (No bulb)),tlp-gbh-nor-nobb-blk-none-non-none-none-0554,B0BG9VPHK5,Shipped,2.00,SGD,$51.80,,$1.99,,,,,,Singapore,,98393,SG,
503-2189679-6019048,,2025-08-07T10:29:18+09:00,2025-08-15T18:35:18+09:00,Shipped,Merchant,Amazon.sg,WebsiteOrderChannel,,Standard,"Masako Long LED Ceiling Light 60cm 90cm - 24W 36W 3Tone - Light Dark Wood (Dark wood, 60cm)",clt-gbh-msk-lr-dwo-60cm-tri-024w-none-2568,B0DPB6VCTC,Shipped,1.00,SGD,$70.00,,$1.99,,,,,,Singapore,,520142,SG,
503-5617839-9175866,,2025-08-04T19:51:35+09:00,2025-08-15T18:11:00+09:00,Shipped,Merchant,Amazon.sg,WebsiteOrderChannel,,Standard,Daichi Wooden Adjustable Wall Lamp - Bedside light,wlp-gbh-dai-none-non-none-non-none-none-0778,B0BG5YGWSG,Shipped,1.00,SGD,$33.00,,$1.99,,,,,,Singapore,Singapore,601286,SG,
503-2296181-1792611,,2025-09-24T21:27:38+09:00,2025-09-25T14:32:02+09:00,Shipped,Merchant,Amazon.sg,WebsiteOrderChannel,,FreeEconomy,"Legrand Galion Socket with USB - White Dark Silver Champagne Rose Gold Matt Black (2x13A Multi + USB, White)",usb-lgd-gal-2mus-wht-none-non-none-none-2216,B0CGDJ3TX4,Shipped,3.00,SGD,$234.00,,,,,,,,Singapore,,349518,SG,
503-9017302-5968607,,2025-09-21T01:07:18+09:00,2025-09-21T01:42:47+09:00,Cancelled,Merchant,Amazon.sg,WebsiteOrderChannel,,FreeEconomy,Goldberg Nordic Table Lamp- with SG safety 3pin plug - Bedroom | Goldberg Home (Green Lamp (No bulb)),nlt-nor-gen-grn-lamp-none-0901,B0BG9TWDZB,,0.00,,,,,,,,,,Singapore,,642216,SG,
503-6755042-0148657,,2025-09-20T23:22:19+09:00,2025-09-20T23:22:50+09:00,Cancelled,Merchant,Amazon.sg,WebsiteOrderChannel,,FreeEconomy,Goldberg Nordic Table Lamp- with SG safety 3pin plug - Bedroom | Goldberg Home (Green Lamp (No bulb)),nlt-nor-gen-grn-lamp-none-0901,B0BG9TWDZB,,0.00,,,,,,,,,,Singapore,,642216,SG,
503-0588609-4573457,,2025-09-18T16:59:10+09:00,2025-09-18T17:34:37+09:00,Shipped,Merchant,Amazon.sg,WebsiteOrderChannel,,FreeEconomy,Goldberg Nordic Table Lamp- with SG safety 3pin plug - Bedroom | Goldberg Home (Green Lamp (No bulb)),nlt-nor-gen-grn-lamp-none-0901,B0BG9TWDZB,Shipped,1.00,SGD,$25.90,,,,,,,,Singapore,,642216,SG,
249-2539257-1177426,,2025-09-03T20:23:43+09:00,2025-09-04T13:54:09+09:00,Shipped,Merchant,Amazon.sg,WebsiteOrderChannel,,FreeEconomy,"Legrand Galion Socket with USB - White Dark Silver Champagne Rose Gold Matt Black (2x13A Multi + USB, White)",gal-2mus-wht-none-non-none-none-2216,B0CGDJ3TX4,Shipped,1.00,SGD,$78.00,,,,,,,,Singapore,,536766,SG,
249-3293646-4218251,,2025-09-02T19:26:28+09:00,2025-09-03T16:57:49+09:00,Shipped,Merchant,Amazon.sg,WebsiteOrderChannel,,FreeEconomy,"Edinburgh Premium Black/White LED Ceiling Light 23/30cm (White, Daylight, 23cm (24W))",edi-none-wht-23cm-day-024w-none-1008,B0CH37VDKZ,Shipped,1.00,SGD,$21.09,,,,,,,,Singapore,,506850,SG,
503-2737741-8114256,,2025-10-19T17:29:21+09:00,2025-10-20T14:28:14+09:00,Shipped,Merchant,Amazon.sg,WebsiteOrderChannel,,FreeEconomy,Goldberg Nordic Table Lamp- with SG safety 3pin plug - Bedroom | Goldberg Home (Green Lamp (No bulb)),nlt-nor-gen-grn-lamp-none-0901,B0BG9TWDZB,Shipped,1.00,SGD,$25.90,,,,,,,,Singapore,,642216,SG,
250-0989382-2831043,,2025-10-16T10:27:59+09:00,2025-10-16T17:32:10+09:00,Shipped,Merchant,Amazon.sg,WebsiteOrderChannel,,FreeEconomy,"Edinburgh Premium Black/White LED Ceiling Light 23/30cm (White, 3 Tones RGB, 23cm (24W))",edi-none-wht-23cm-tri-024w-none-0622,B0CH387TLF,Shipped,2.00,SGD,$52.00,,,,,,,,Singapore,,806106,SG,
250-9120049-8498225,,2025-10-10T20:25:13+09:00,2025-10-14T23:09:43+09:00,Shipped,Merchant,Amazon.sg,WebsiteOrderChannel,,FreeEconomy,"E27 Corn Light Bulb 10W 12W - 3 Tones (watts, 12)",ltb-gbh-e27-none-non-none-tri-012w-1pcs-1143,B0BH568WZZ,Shipped,2.00,SGD,$10.80,,,,,,,,Singapore,Singapore,127712,SG,
249-8524765-2081432,,2025-11-23T13:09:52+09:00,2025-11-25T21:41:40+09:00,Shipped,Merchant,Amazon.sg,WebsiteOrderChannel,,FreeEconomy,"Legrand Galion Dimmer for Lights - Rotary and LED - White Silver Champagne Rose Gold Black (LED Dimmer, White)",gal-none-wht-none-non-none-none-1605,B0CGDPD5TY,Shipped,1.00,SGD,$70.30,,,,,,,,Singapore,,258423,SG,
